,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
2019-12,107.28792312280957,61.87716015693582,9103.718029704838,1249.3002457793216,804.1410549516321,175.41847558521403,179797.44360391216,23565112.984850626,,0.0,188619.59628953555,5894.392572266819,4114.71100450965,29.08835578740468,3777.4315219471846,100.26049543273784,10443.522235788101,3.9999999998439186,-374.9999999999986,4300205.534759176,18390.01085049377,9445706.838065082,1589869.2515631274,3647932.516953013,128159.21427539835,82.52736888173656,15754019.90321819,12089.44251843097,181954.15120202376,3604.0988379579753,36306.0,12089.44251843097,2702.83577137524,5152.7,390684.2114655272,,,,101.40664591231526
2020-01,77.62810900444303,46.477160156935824,7615.488328904084,1314.6808727926739,448.0170869721211,175.6004198197297,17407.13891150134,2699527.66496893,,0.0,-480.3706980381676,1000.217863752448,,,,100.13551130512273,,,1484.000000000001,1043678.9972111492,4675.137606818782,1143236.892562051,66975.37067114793,70457.88172171629,28018.096920963093,,15789581.814368574,,31455.803173972963,3088.1006894762745,28191.0,,,6183.24,-5132.258941792963,,,,101.2841299842995
2020-02,90.10023241285687,47.27716015696488,7023.884818246488,1110.1176574397102,466.2341219384015,163.63452962972676,32302.261828152703,4157708.534840422,,0.0,9797.74756049763,1366.9885818954751,,,,99.90132843077204,,,1484.0000000000014,1366219.6737481186,5406.184162087293,2013331.4039417324,91030.97204994527,115648.40936405104,34252.48178821092,,16018377.91676673,,48915.10195540997,3134.309044337044,28525.0,,,6183.24,50700.52139333945,,,,100.28332184279962
2020-03,88.45437207076705,55.27716015693582,8295.21530385192,1185.9675738190047,736.6129207876652,177.13922044869994,45739.654600186754,6232394.535955366,,0.0,24198.776903671853,2171.454266862338,3359.7110045096497,26.749312071989994,-2083.584891864144,100.46362987259334,10875.851189586056,3.999999999843918,2001.0000000000014,1670499.8528526726,6676.968105012114,2658345.1862810273,210328.24430752662,833947.8110936206,43841.95781084375,65.05062407274073,15425176.402689533,-10463.464636150282,68023.80300228868,3992.0177095863783,29982.0,-10463.464636150282,-523.0144240075106,6183.24,82214.88846540371,,,,101.13348744712437
2020-04,72.09351534994893,58.27716015693582,7275.814280829214,1227.0078674712372,764.1152132679747,153.77354573128173,63298.990409169295,9057490.07303079,,0.0,40332.65402049588,3464.68567065739,,,,100.43851963072741,,,2097.0000000000014,1997036.282961304,8444.817278428825,3545980.6133477697,617449.2687670927,1324840.7755427891,56214.64701741265,,14827698.41847019,,85130.68910320273,37894.31668983808,30207.0,,,6183.24,173050.00638039294,,,,102.97715076913157
2020-05,95.38273380992929,62.77716015693582,7645.991408559025,1147.7607496904707,749.3740888390621,177.05696775630548,76337.88256854343,10823215.57523007,,0.0,50074.273916651924,4149.216286767409,,,,100.47806556030667,,,2137.0000000000014,2365447.922190038,10624.014428832632,4189650.4728974616,825520.2689366363,1648175.6655053908,67325.29754734156,,14498302.479068823,,104629.2898241902,3684.007330647677,31823.0,,,6183.24,191045.8091730525,,,,103.99990290624518
2020-06,92.63052743530478,69.87716015693582,7331.972321038438,1198.4030125544416,739.4387613655613,256.93905869940346,89952.6319347385,12175579.388111265,,0.0,65740.26922574246,4274.2123604202425,4512.422009019299,50.41949973150073,-2002.1120132037468,100.46152370896527,12779.624562798352,3.999999999687837,2190.0000000000014,2667938.575253265,11502.24572413938,4903888.816894587,846166.0509009585,1776306.0763277004,77040.5438427535,79.1732135038392,14978137.207962107,-10984.43448436732,119627.74324667596,3755.44912527431,32791.0,-10984.43448436732,-298.60080557793844,6183.24,204544.4703616896,,,2807.517363278408,102.62913455616545
2020-07,102.10116768838819,66.67716015693583,7292.782694360369,1223.8586073126949,726.8415436842281,257.0886808530626,105932.40929411068,14796933.01344096,,0.0,80266.6896365473,5717.910275672927,,,,100.01007068047711,,,2502.0000000000014,3029451.8234093855,14417.640019044904,5899338.117687956,1100072.863368534,2155156.1288233385,90132.89326605327,,14996501.505055292,,139900.29289762562,3822.244974544814,30746.0,,,6183.24,244578.95779408995,,,,104.9333229338119
2020-08,95.2120897215113,97.67716015693581,7196.586504037289,1298.6695914785478,713.5068915141752,217.47274263769953,119011.16104361841,16327233.667683044,,0.0,94931.00311095796,5816.150210666116,,,,99.59054893029551,,,2998.0000000000014,3416075.102796926,15611.774316387004,6560312.36957717,1211379.1497620041,2358684.0394206382,101401.13947985742,,14465776.265725981,,156103.02447188256,3856.5296864168654,30080.0,,,6183.24,281123.1218392988,,,,105.08649513290639
2020-09,90.42629600905043,86.87716015693582,6737.121739686221,1258.1633793180365,558.8557939027148,175.79155583123162,130922.45082178625,17657595.2656036,,0.0,112603.92228216214,5834.919337948096,3757.4220090192994,69.49866469021931,-1445.6585521569414,99.523862570885,12200.694101405556,3.9999999996878364,3053.0000000000014,3814683.549531134,15606.215491899728,7112796.757106979,1220155.0569838586,2488504.128437441,109958.07511270483,73.71371391692321,14677745.246788654,-12437.637029157053,176148.0159275366,4132.36196641094,30692.0,-12437.637029157053,-463.2836842121583,6183.24,282895.52693134546,,,,103.56962413382132
2020-10,96.051047907541,89.57716015693582,6316.582952418339,1376.0049259575476,612.4106992628891,146.38805106258908,152546.97904522566,20612586.50421874,,0.0,134146.5400775976,6098.715979238496,,,,100.26968458326023,,,3441.000000000001,4198520.103704392,19558.063120654893,8178267.305165054,1468260.3618756146,3054100.577259683,122236.04278363324,,14084126.690918766,,196044.2558239013,4170.0794578452915,30783.0,,,6183.24,321348.37523318594,,,,104.94904091009664
2020-11,87.51141817141071,86.47716015693582,7761.745526291399,1340.0975630190387,665.9348048554031,122.84749379165979,169583.4479428278,22378855.672650807,,0.0,156358.47043683336,6149.219512689456,,,,100.47424895344312,,,1484.0000000000014,4586058.631801824,20887.34117789046,8793996.143434767,1587463.4410965852,3283397.022474524,132915.51000430525,,14350047.428369107,,226076.81177316632,4134.673936785375,30783.0,,,6183.24,332676.4390907217,,,,105.32800537717124
2020-12,118.71267155348009,82.95432031387165,8045.628319690009,1312.5610213177574,637.941218243045,122.67585869347646,186452.40173718752,24825880.52863454,8.486666666666666,0.0,181716.91746780707,6413.701274000535,4910.13301352895,106.4668450477902,-1259.1679526960606,100.5507235954015,13307.602170838223,3.999999999531755,1109.0000000000027,4892774.075544291,21261.93123772941,10072730.338525822,1647403.7357138644,3654452.597900038,143031.17796346577,66.8357861607235,15142891.056121966,-1463.488794826333,228210.27056883337,4176.725928793704,38028.0,-1463.488794826333,692.9710462475559,6183.24,370781.34694461786,636.0,153.42,2786.4418411061615,106.4112145586078
