,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
2019-12,344.10636954530366,171.34266781606902,10624.755286692036,63.899604960562456,15.098934552884566,785.0210714349623,409432.59636066126,62686222.5354717,,0.0,1308071.7191653992,18657.505601104473,14748.910027510277,-4.118998223911305,1016.8774597920653,100.76710757384254,23805.234094585932,3.9999318471009113,-295.3899680374343,7652272.847106133,37125.88787145024,21751583.18024835,6701465.906491767,14837738.560991537,295190.2304148087,-116.2355804816854,23913845.980000004,31626.56675904717,354298.08280083747,28460.176221010046,39712.7642405352,31626.56675904717,6448.533947941072,29923.239578458724,758326.3894662636,,,,101.58159674133405
2020-01,405.49257041383305,157.24807343943033,10471.535476768393,59.33960496056246,14.378987331236985,773.2606370682148,41888.48456962666,6179867.833738985,,0.0,30269.16420328666,-1345.6510906621552,,,,100.54093231842614,,,477.7046291306151,1721870.1716361956,-13743.804722680365,2493245.4389880197,-1244305.128862212,1316598.9514133234,12688.778397006494,,13500263.380000005,,13367.762409839805,21252.04343460845,32728.796939985597,,,4112.366227886068,16789.479484383177,,,,103.51962208578055
2020-02,391.2617893739814,179.90398163950675,10239.831023775525,60.78531242203229,14.600311405734011,745.4516964257216,69269.49756334296,9796838.037605152,,0.0,85942.08839719936,-595.9358949151385,,,,100.09931892446875,,,477.70462913061573,2211460.914885805,-12086.59130587655,4156742.1453010743,-1136933.0321280006,1992023.5334803613,34675.27497507796,,13500263.380000003,,55782.641929816,23649.169446308326,33240.766221918355,,,7716.668061297753,67668.69198428182,,,,103.4833740625689
2020-03,396.60395513108085,203.00518465145706,11137.490075507581,65.29508349914786,15.147656023978463,814.7759546654775,105297.50538373491,15780040.207752446,,0.0,182611.87859698106,3633.7943462745225,6167.813789040417,-38.99079573134463,1375.4774597920652,100.26240655217694,25492.736521079634,4.999709466514904,1919.7250406694648,2781116.2500153743,-9970.840804019506,5818447.197433851,-15350.103087659074,3941741.910737534,58641.82071563628,-19.63558048168541,13500263.380000003,12294.14993306253,81002.7013073353,23765.272932323274,33675.6564242569,12294.14993306253,-1366.5923996849924,11458.964040314539,111251.13101223382,,,,105.34390122689905
2020-04,367.9713121623136,226.17316248915958,10499.623042682373,63.917236220462065,14.673064732867637,824.0315559923706,148589.31341415373,23174014.08217891,,0.0,377117.79097226175,11569.628146537576,,,,100.33623129676054,,,2223.3851379372904,3354155.102547424,-8526.242986109748,7845589.860004736,1609564.431315614,5318530.117987134,94510.4203494038,,13500263.380000003,,136689.6662508299,9992.669211617998,35023.99847828041,,,18070.053361067083,180845.4458254304,,,,101.16674368831542
2020-05,338.8586456600621,236.49911421275232,10618.93141127763,63.25920992112489,17.100821456642493,845.7550421474966,175431.0538191837,27526445.236840434,,0.0,442610.91606011835,13217.84514017782,,,,100.17314366905235,,,1997.1854339691226,4019139.9442033665,-6149.995376068595,9492571.4992291,2175848.552101402,6118486.398844142,114210.43754896762,,13500263.380000003,,179017.69466979493,24005.004233094016,35631.083363779886,,,21930.10192747046,226335.28836959094,,,,101.84490514722539
2020-06,372.33960754070716,241.6367398569311,10582.087902054765,63.319209921124894,17.223332565980517,781.8571527586381,209228.41124466664,31102544.00961164,,0.0,510136.51955986256,13563.520612127213,8211.81583116945,-16.132481502762744,1017.0549195841307,99.80535501967856,26636.970615665563,4.999867842480695,2897.1502633297596,4610084.119538037,-1978.0283071475797,11113060.51770856,2224083.1296066553,6862490.7908967305,142220.82053413964,-144.17116096337082,13500263.380000003,29053.370320822396,212428.78329147995,23696.677106392635,37403.77863974683,29053.370320822396,-671.2709333834432,25799.14384261505,295789.2222913044,,,2807.517363278408,101.79508254331624
2020-07,401.8086189133659,241.13787162909796,11226.66469214129,63.82920992112489,17.966772093008736,766.1256495522939,259467.13784305763,38611532.950164795,,0.0,690619.4327515066,20118.916393177184,,,,100.11005604134415,,,2169.27969592551,5266255.869170446,1133.6268567840511,12995288.658270922,3573532.5832889765,8904343.641656958,170519.75320521148,,13500263.380000003,,254388.25743378056,22676.248162411084,34679.86122387189,,,29554.25863257187,353335.09295087395,,,,101.6815766484168
2020-08,377.8643256447506,254.64861163603715,11884.18004555702,63.75920992112489,17.025573086523192,731.1378501931391,291940.3535313318,42362179.45050752,,0.0,756012.0994148864,20311.890548494175,,,,99.43153027509497,,,2683.1372683003824,5927975.792659379,5502.325797659511,14558125.034405705,3713459.0402352638,9962468.985787772,192003.98750918877,,13500263.380000003,,285416.15351623425,23255.868387013063,34588.323974349056,,,33358.165993738585,412625.1543568381,,,,102.7795422210469
2020-09,390.3745698193885,252.7614885685735,11635.35880532908,62.7692099211249,16.62712915882913,757.289780384035,324044.0507331616,46087699.89235727,,0.0,854020.8028416861,20677.041257794503,6868.813904011708,-24.61263415484643,1375.6549195841308,100.05166943530156,28324.473042159265,5.0000622085767095,2701.7384831537665,6600074.191279625,10817.081135584831,16273422.04291672,3716568.4595626807,10558805.391267756,211659.04658401813,-47.57116096337083,13500263.38,9711.970083909355,308152.8614090305,23147.700694568048,35350.038928322196,9711.970083909355,-1114.1824314651913,37121.302494765696,467983.24367600004,,,,102.72766412030899
